timestamp,scenario,x_offset_mm,y_offset_mm,z_offset_mm,yaw_offset_deg,notes
2026-03-14T00:20:04,S1_baseline,25,6,17,30,na
2026-03-14T00:53:31,S1_baseline,10,6,16,45,na
2026-03-14T00:58:41,S2_low_light,25,6,17,30,dim light + 30deg yaw
2026-03-14T01:15:00,S3_decode_stability_daylight,25,6,17,30,daylight; medium yaw; brief shake
2026-03-14T01:27:27,S3_decode_stability_daylight_r2,25,6,17,30,daylight; medium yaw; brief shake; r2 decode-priority tune
2026-03-14T01:39:31,S4_decode_recovery_bias_sweep,25,6,17,30,daylight; medium yaw; brief shake; r3 bias sweep
